Country code,Country,Total commitment score,Total vulnerability score,Total policies and action score,Number of indicators available,Aggregated data,,,,
0,Afghanistan,-1,,,1,-1,,,,
1,Albania,-1,-0.933333333,-0.166666667,3,-0.7,,,,
2,Algeria,-1,-1,0.5,3,-0.5,,,,
3,Andorra,-1,,,1,-1,,,,
4,Angola,4.0,-1,0.166666667,3,-0.277777778,,,,
5,Antigua and Barbuda,-1,-0.6,1.5,3,-0.033333333,,,,
6,Argentina,-1,-0.933333333,-0.25,3,-0.727777778,,,,
7,Armenia,-1,,,1,-1,,,,
8,Australia,-1,-1,0.416666667,3,-0.527777778,,,,
9,Austria,-1,,-1.5,2,-1.25,,,,
10,Azerbaijan,-1,,0,2,-0.5,,,,
11,The Bahamas,1.0,-1.666666667,-0.25,3,-0.638888889,,,,
12,Bangladesh,1.0,-1.266666667,1,3,-0.088888889,,,,
13,Barbados,2.0,-1.333333333,0.5,3,-0.277777778,,,,
14,Belarus,-1,,0.1428571429,2,-0.5,,,,
15,Belgium,-1,-0.933333333,-0.083333333,3,-0.672222222,,,,
16,Belize,3.0,-1.266666667,0.833333333,3,-0.144444444,,,,
17,Benin,3.0,-1.333333333,1.5,3,0.055555556,,,,
18,Bhutan,-1,,1,2,0,,,,
19,Bolivia,-1,0,0,3,-0.333333333,,,,
20,Bosnia and Herzegovina,-1,,0.5,2,-0.25,,,,
21,Botswana,-1,,,1,-1,,,,
22,Brazil,-1,-0.933333333,0.125,3,-0.602777778,,,,
23,Brunei,-1,-1,1,3,-0.333333333,,,,
24,Bulgaria,-1,-0.933333333,-0.666666667,3,-0.866666667,,,,
25,Burkina Faso,-1,,,1,-1,,,,
26,Burundi,-1,,,1,-1,,,,
27,Cambodia,1.0,-1,0.5,3,-0.166666667,,,,
28,Cameroon,3.0,-1.333333333,,2,-0.666666667,,,,
29,Canada,2.0,-0.933333333,0.08,3,-0.283333333,,,,
30,Cabo Verde,-1,-1.6,,2,-1.3,,,,
31,Central African Republic,-1,,,1,-1,,,,
32,Chad,1.0,,,1,0,,,,
33,Chile,-1,-0.933333333,0.708333333,3,-0.408333333,,,,
34,China,1.0,-0.633333333,-1,3,-0.544444444,,,,
35,Columbia,-1,-0.933333333,0.708333333,3,-0.408333333,,,,
36,Comoros,-1,-0.933333333,,2,-0.966666667,,,,
37,Cook Islands,-1,,2.333333333,2,0.666666667,,,,
38,Costa Rica,1.0,-0.933333333,0.125,3,-0.269444444,,,,
39,Ivory Coast,1.0,-1.266666667,0,3,-0.422222222,,,,
40,Croatia,-1,-0.933333333,-0.041666667,3,-0.658333333,,,,
41,Cuba,1.0,-0.933333333,2,3,0.355555556,,,,
42,Cyprus,-1,-0.933333333,-0.333333333,3,-0.755555556,,,,
43,Czechia,-1,,,1,-1,,,,
44,Democratic Republic of the Congo,1.0,-0.933333333,,2,-0.466666667,,,,
45,Denmark,-1,-0.933333333,-0.375,3,-0.769444444,,,,
46,Djibouti,4.0,-1,,2,-0.5,,,,
47,Dominica,-1,-0.95,0.166666667,3,-0.594444444,,,,
48,Dominican Republic,1.0,-0.933333333,1.00,3,0.022222222,,,,
49,Ecuador,-1,-0.933333333,0.5,3,-0.477777778,,,,
50,Egypt,1.0,-0.933333333,,2,-0.466666667,,,,
51,El Salvador,-1,-1,1,3,-0.333333333,,,,
52,Equatorial Guinea,-1,-0.933333333,1.166666667,3,-0.255555556,,,,
53,Eritrea,2.0,-0.3,1,3,0.233333333,,,,
54,Estonia,-1,,-0.208333333,2,-0.604166667,,,,
55,Eswatini,-1,,,1,-1,,,,
56,Ethiopia,-1,,,1,-1,,,,
57,EUU,-1,,,1,-1,,,,
58,Fiji,2.0,-1,0.666666667,3,-0.111111111,,,,
59,Finland,-1,-0.933333333,-0.083333333,3,-0.672222222,,,,
60,France,-1,-0.933333333,-0.125,3,-0.686111111,,,,
61,Gabon,1.0,-1,0.5,3,-0.166666667,,,,
62,Gambia,1.0,-1,2,3,0.333333333,,,,
63,Georgia,1.0,-1,0.33,3,-0.222222222,,,,
64,Germany,-1,-0.933333333,-0.125,3,-0.686111111,,,,
65,Ghana,-1,-1.9,0.5,3,-0.8,,,,
66,Greece,-1,-0.933333333,-0.375,3,-0.769444444,,,,
67,Grenada,1.0,-1,1,3,0,,,,
68,Iran,-1,,,1,-1,,,,
69,Guatemala,1.0,-0.933333333,1.333333333,3,0.133333333,,,,
70,Guinea,2.0,-1,0,3,-0.333333333,,,,
71,Guinea-Bissau,2.0,-1.666666667,-0.5,3,-0.722222222,,,,
72,Guyane,1.0,-1,0.5,3,-0.166666667,,,,
73,Haiti,1.0,-1.333333333,1.5,3,0.055555556,,,,
74,Honduras,-1,-1,1,3,-0.333333333,,,,
75,Hungary,-1,,,1,-1,,,,
76,Iceland,-1,-1.6,0.166666667,3,-0.811111111,,,,
77,India,3.0,-0.933333333,-0.375,3,-0.436111111,,,,
78,Indonesia,1.0,-1.6,-0.541666667,3,-0.713888889,,,,
79,Iraq,-1,-1,0.5,3,-0.5,,,,
80,Ireland,-1,-0.933333333,-0.541666667,3,-0.825,,,,
81,Israel,-1,-1,-0.50,3,-0.833333333,,,,
82,Italy,-1,-0.933333333,-0.541666667,3,-0.825,,,,
83,Jamaica,-1,-1,1,3,-0.333333333,,,,
84,Japan,-1,-0.933333333,-0.208333333,3,-0.713888889,,,,
85,Jordania,-1,-1,1,3,-0.333333333,,,,
86,Kazakhstan,-1,,,1,-1,,,,
87,Kenya,-1,-1,0.5,3,-0.5,,,,
88,Kiribati,-1,-3,0,3,-1.333333333,,,,
89,Kuwait,-1,-0.933333333,,2,-0.966666667,,,,
90,Kyrgyzstan,-1,,,1,-1,,,,
91,Laos,-1,,,1,-1,,,,
92,Latvia,-1,-0.933333333,-0.041666667,3,-0.658333333,,,,
93,Lebanon,-1,-1,0.833333333,3,-0.388888889,,,,
94,Lesotho,-1,,,1,-1,,,,
95,Liberia,4.0,-1,0.5,3,-0.166666667,,,,
96,Libya,-1,-1,1,3,-0.333333333,,,,
97,Liechtenstein,-1,,,1,-1,,,,
98,Lithuania,-1,-0.933333333,-0.375,3,-0.769444444,,,,
99,Luxembourg,-1,,,1,-1,,,,
100,Macedonia,-1,,,1,-1,,,,
101,Madagascar,1.0,-1.333333333,0.5,3,-0.277777778,,,,
102,Malawi,1.0,,,1,0,,,,
103,Malaysia,1.0,-1.3,-0.166666667,3,-0.488888889,,,,
104,Maldives,2.0,-2.666666667,0,3,-0.888888889,,,,
105,Mali,-1,,,1,-1,,,,
106,Malta,-1,-0.933333333,-0.25,3,-0.727777778,,,,
107,Marshall Islands,-1,,0.5,2,-0.25,,,,
108,Mauritania,1.0,-1,0,3,-0.333333333,,,,
109,Mauritius,2.0,-1.266666667,0.333333333,3,-0.311111111,,,,
110,Mexico,1.0,-0.933333333,0.125,3,-0.269444444,,,,
111,Micronesia,-1,-3,0.5,3,-1.166666667,,,,
112,Moldova,-1,,,1,-1,,,,
113,Monaco,-1,,0.5,2,-0.25,,,,
114,Mongolia,-1,,,1,-1,,,,
115,Montenegro,-1,-0.933333333,0.666666667,3,-0.422222222,,,,
116,Morocco,3.0,-1,-0.5,3,-0.5,,,,
117,Mozambique,-1,-1,-0.166666667,3,-0.722222222,,,,
118,Myanmar,2.0,-1.333333333,-0.166666667,3,-0.5,,,,
119,Namibia,1.0,-0.966666667,-0.166666667,3,-0.377777778,,,,
120,Nauru,-1,,0.666666667,2,-0.166666667,,,,
121,Pakistan,-1,,1,2,0,,,,
122,Nepal,-1,,,1,-1,,,,
123,Netherlands,-1,-0.933333333,-0.375,3,-0.769444444,,,,
124,New Zealand,-1,-1,-0.166666667,3,-0.722222222,,,,
125,Saint Kitts and Nevis,2.0,-0.9,1.5,3,0.2,,,,
128,Saint Lucia,2.0,-1.333333333,0,3,-0.444444444,,,,
132,Samoa,-1,-1.933333333,0.17,3,-0.922222222,,,,
134,San Marino,-1,,,1,-1,,,,
135,São Tomé and Príncipe,2.0,-1.666666667,1,3,-0.222222222,,,,
137,Saudi Arabia,2.0,-1,0.333333333,3,-0.222222222,,,,
140,Senegal,1.0,-1.333333333,0,3,-0.444444444,,,,
142,Serbia,-1,,,1,-1,,,,
143,Seychelles,1.0,-2.8,-0.166666667,3,-0.988888889,,,,
146,Sierra Leone,1.0,-1.666666667,1.166666667,3,-0.166666667,,,,
148,Singapore,1.0,-1,0,3,-0.333333333,,,,
150,Slovakia,-1,,,1,-1,,,,
152,Slovenia,-1,-0.933333333,-0.416666667,3,-0.783333333,,,,
154,Solomon Islands,-1,-2.266666667,-1,3,-1.422222222,,,,
156,Nicaragua,-1,,1.666666667,2,0.333333333,,,,
158,Niger,-1,,,1,-1,,,,
160,Nigeria,1.0,-1,1,3,0,,,,
162,Niue,-1,,,1,-1,,,,
164,North Korea,2.0,,,1,0,,,,
165,Norway,-1,-1,-0.375,3,-0.791666667,,,,
167,Oman,3.0,-1.333333333,0.5,3,-0.277777778,,,,
170,Palau,1.0,,0.5,2,0.25,,,,
172,Palestine,2.0,,,1,0,,,,
174,Panama,-1,-0.933333333,1,3,-0.311111111,,,,
176,Papua New Guinea,-1,-1,0.5,3,-0.5,,,,
178,Paraguay,-1,,,1,-1,,,,
180,Peru,1.0,-0.933333333,0.791666667,3,-0.047222222,,,,
182,Philippines,-1,-1.266666667,0.333333333,3,-0.644444444,,,,
184,Poland,-1,-0.933333333,-0.208333333,3,-0.713888889,,,,
186,Portugal,-1,-0.933333333,-0.208333333,3,-0.713888889,,,,
188,Qatar,-1,-1,0.666666667,3,-0.444444444,,,,
190,Republic of the Congo,2.0,,,1,0,,,,
192,Romania,-1,-0.933333333,0.208333333,3,-0.575,,,,
194,Russia,-1,-0.933333333,-0.5,3,-0.811111111,,,,
196,Rwanda,-1,,,1,-1,,,,
198,Saint Vincent and the Grenadines,2.0,-1.266666667,1,3,-0.088888889,,,,
199,Somalia,1.0,-1,1,3,0,,,,
200,South Africa,-1,-1,-0.375,3,-0.791666667,,,,
201,South Korea,-1,-1,-1.00,3,-1,,,,
202,South Sudan,-1,,,1,-1,,,,
203,Spain,-1,-1,0.041666667,3,-0.652777778,,,,
204,Sri Lanka,5.0,-1.666666667,0.5,3,-0.388888889,,,,
205,Sudan,1.0,-1,1.666666667,3,0.222222222,,,,
206,Suriname,3.0,-0.933333333,1.5,3,0.188888889,,,,
207,Sweden,-1,-0.933333333,0.041666667,3,-0.630555556,,,,
208,Switzerland,-1,,,1,-1,,,,
209,Syria,1.0,-1,1,3,0,,,,
210,Tajikistan,-1,,,1,-1,,,,
211,Tanzania,4.0,-0.933333333,1.5,3,0.188888889,,,,
212,Ukraine,-1,-1,-0.08,3,-0.694444444,,,,
213,Thailand,1.0,-0.933333333,-0.5,3,-0.477777778,,,,
214,Timor-Leste,2.0,-1,0.5,3,-0.166666667,,,,
215,Togo,1.0,-1,1,3,0,,,,
216,Tonga,1.0,-2,0,3,-0.666666667,,,,
217,Trinidad and Tobago,-1,-0.933333333,0,3,-0.644444444,,,,
218,Tunisia,1.0,-1,-0.666666667,3,-0.555555556,,,,
219,Turkey,-1,-0.933333333,-1,3,-0.977777778,,,,
220,Turkmenistan,-1,,,1,-1,,,,
221,Tuvalu,-1,-3,0.5,3,-1.166666667,,,,
222,Uganda,-1,,,1,-1,,,,
223,United Arab Emirates,1.0,-0.933333333,1.5,3,0.188888889,,,,
224,United Kingdom,-1,-0.933333333,-0.625,3,-0.852777778,,,,
225,United States of America,-1,-1,-0.5,3,-0.833333333,,,,
226,Uruguay,1.0,-1,0.5,3,-0.166666667,,,,
227,Uzbekistan,-1,,,1,-1,,,,
228,Vanuatu,1.0,-2,0.166666667,3,-0.611111111,,,,
229,Venezuela,2.0,-0.933333333,1.5,3,0.188888889,,,,
230,Vietnam,3.0,-1.666666667,0.5,3,-0.388888889,,,,
231,Yemen,-1,-0.933333333,0.833333333,3,-0.366666667,,,,
232,Zambia,1.0,,,1,0,,,,
233,Zimbabwe,-1,,,1,-1,,,,